condition,metric,mean,median,std,ci_95_low,ci_95_high,users
global_popularity_baseline,ndcg_at_10,0.15118465354662122,0.09478836436955079,0.17081908252219496,0.14045350210060947,0.16164987100278058,1000
global_popularity_baseline,recall_at_10,0.009876717985541232,0.0061162079510703364,0.013305562357557501,0.009059945288176769,0.01071161775562133,1000
global_popularity_baseline,precision_at_10,0.14320000000000002,0.1,0.15581411373183765,0.1332,0.1529,1000
global_popularity_baseline,hit_rate_at_10,0.663,1.0,0.4729214043101186,0.633,0.692,1000
five_seed_baseline,ndcg_at_10,0.5543034118884875,0.5641568560575793,0.31173558771808596,0.5347845805242586,0.5734424359855331,1000
five_seed_baseline,recall_at_10,0.05012437880664287,0.033550821312432255,0.05139783947479285,0.04693186936005441,0.05338833200114284,1000
five_seed_baseline,precision_at_10,0.5233,0.5,0.30554945666858985,0.5040975,0.5424025,1000
five_seed_baseline,hit_rate_at_10,0.942,1.0,0.2338604085575211,0.928,0.956,1000
fifteen_real_interaction_reference,ndcg_at_10,0.6054860430366119,0.6489315753318466,0.29177899162357473,0.5873301657030432,0.6233110046031501,1000
fifteen_real_interaction_reference,recall_at_10,0.06247711206443536,0.040710828159528575,0.06495341633323226,0.05875743910163348,0.06663109423378519,1000
fifteen_real_interaction_reference,precision_at_10,0.5785999999999999,0.6,0.28938864142496296,0.5608,0.5964,1000
fifteen_real_interaction_reference,hit_rate_at_10,0.97,1.0,0.17067257872642908,0.959,0.98,1000
